file_id,region,condition,candidate_id,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,gki,eps,gl_a,zth,zs,P_gap_eff_plausible,gamma_t_eff_plausible,gamma_s_eff_plausible,volume_ratio_wa_wo_plausible,gki_plausible,eps_plausible,gl_a_plausible,zth_plausible,zs_plausible
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_017,1.6031644309123358e-07,5.932760873181047e-06,4.1718672451526926e-08,1.1157496342502624,85.06333540829297,0.0015022002001111,0.3614487746952057,96.24241635901636,0.063798257349637,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_066,0.0069749601902638,3.927087625984605e-08,1.617080981559994e-07,0.0831430821866163,433.7334626278583,0.0005780239877578,0.4770455188647649,89.586067443959,0.0090442671044047,False,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_095,1.4250908925669246e-07,4.4790189659465766e-07,1.342246696623257e-06,0.1987475858822825,193.1695606168917,0.0009724971787696,2.687996677518761,133.5037243556354,0.5398371585566705,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_045,5.974127255988732e-08,1.2417062322588308e-07,2.467468523698383e-06,0.0884212045110738,78.04954869118016,0.0006398974185087,8.438441896543724,113.84058736523616,0.002147582593633,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_021,1.4150408772415466e-07,2.098278226672164e-06,6.130746680203177e-08,0.1159883662936838,203.84603901137947,0.0005953798066913,0.3982079750004388,97.03704053191152,0.0069950545104435,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_088,2.1475323117158456e-08,1.3018410412243317e-06,2.0701078735455987e-08,0.2832904497962185,17.585605272874684,0.0005309233207035,0.0053503339340218,57.56533806837764,0.5904622036493072,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_019,1.640993275376771e-07,1.64324992428742e-06,4.031169464741652e-08,0.1068305322371281,200.03920836286844,0.000602248026323,0.395387296573269,96.02680284062612,0.006495240775029,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_009,3.3329305902699583e-08,2.643942704711049e-07,2.0997229327127658e-08,0.0812079621550947,388.4233845931096,0.0005817431290015,1.2225056456758343,132.49072562511824,0.001550031939391,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_008,4.007980265064088e-08,4.269862126995779e-07,2.2796701209121707e-08,0.0852133600926376,269.0053964335095,0.0006164928683406,1.122830020861703,118.89813448160956,0.0013254914299386,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_005,3.606634700083379e-08,3.967862552886693e-07,1.878072632794777e-08,0.0856563793636371,384.0549806941019,0.0006217132022696,1.161460205939589,118.36930600139765,0.0012036242397904,True,True,True,True,False,True,True,False,True
