file_id,candidate_id,region,condition,selection_note,accepted_all6,sweep,current_na,baseline_delta_pred_minus_obs_mV,raw_rmse_mV,centered_rmse_mV,obs_stim_end_centered_mV,pred_stim_end_centered_mV,stim_end_delta_pred_minus_obs_mV
DH_6_MFA,DH_6_MFA__cand_01,DH,MFA,accepted_best,True,5,150,-36.174335956539,38.07470880162112,3.9977159227743138,20.30628695652166,12.731125432615926,-7.575161523905734
DH_6_MFA,DH_6_MFA__cand_01,DH,MFA,accepted_best,True,6,175,-35.233988130452026,38.21177705912633,5.614879253929731,23.628260869565363,12.731125432615926,-10.897135436949437
DH_6_MFA_BA,DH_6_MFA_BA__cand_16,DH,MFA_BA,accepted_best,True,1,50,-42.641659716647894,40.7312696192238,3.9761535550653284,5.983539130435034,13.645057918164426,7.661518787729392
DH_6_MFA_BA,DH_6_MFA_BA__cand_16,DH,MFA_BA,accepted_best,True,2,75,-42.236668412300084,41.37673660063967,2.2533141156773344,9.788047826086924,13.645057918164426,3.857010092077502
DH_6_MFA_BA,DH_6_MFA_BA__cand_16,DH,MFA_BA,accepted_best,True,3,100,-42.480959716647966,41.89182411975417,1.1764587481024884,12.485839130434353,13.645057918164426,1.1592187877300724
DH_6_MFA_BA,DH_6_MFA_BA__cand_16,DH,MFA_BA,accepted_best,True,4,125,-41.47532928186537,42.054532320736136,1.4609141298898098,16.57126521739127,13.645057918164426,-2.9262072992268457
DH_6_MFA_BA,DH_6_MFA_BA__cand_16,DH,MFA_BA,accepted_best,True,5,150,-40.41904232534356,41.93377049495062,3.082978439780818,19.955969565217774,13.645057918164426,-6.310911647053349
DH_6_MFA_BA,DH_6_MFA_BA__cand_16,DH,MFA_BA,accepted_best,True,6,175,-38.96971623838706,41.61417347452228,4.914616358871697,23.860586956521587,13.645057918164426,-10.215529038357161
VH_1_MFA,VH_1_MFA__cand_16,VH,MFA,accepted_best,True,1,50,-29.396257463556182,27.62809076253807,3.791091137140556,5.391656521738952,12.461716780193441,7.07006025845449
VH_1_MFA,VH_1_MFA__cand_16,VH,MFA,accepted_best,True,2,75,-29.646874854860513,28.6479124357015,2.351608809251367,8.466760869565555,12.461716780193441,3.994955910627887
VH_1_MFA,VH_1_MFA__cand_16,VH,MFA,accepted_best,True,3,100,-30.08156181138225,29.432604512990483,1.3324894756062575,10.959004347826344,12.461716780193441,1.5027124323670975
VH_1_MFA,VH_1_MFA__cand_16,VH,MFA,accepted_best,True,4,125,-29.95897050703445,30.006943161606703,1.0749576445191902,13.348117391304555,12.461716780193441,-0.8864006111111138
VH_1_MFA,VH_1_MFA__cand_16,VH,MFA,accepted_best,True,5,150,-29.999579202686633,30.76336787757333,1.9939693904225042,16.028582608695558,12.461716780193441,-3.5668658285021166
